timestamp,price,distance,exposure,open_positions,equity
2026-03-21 14:50:00,0.1787,100.0,35.0,1,150.0
2026-03-21 14:55:00,0.1786,100.0,35.0,1,149.97062115277
2026-03-21 15:00:00,0.1794,100.0,35.0,1,150.20565193060997
2026-03-21 15:05:00,0.1795,100.0,35.0,1,150.23503077783997
2026-03-21 15:10:00,0.1799,100.0,70.0,2,150.35254616675994
2026-03-21 15:15:00,0.1796,100.0,70.0,2,150.17686098693767
2026-03-21 15:20:00,0.1798,100.0,70.0,2,150.29398444015249
2026-03-21 15:25:00,0.1803,100.0,70.0,2,150.58679307318963
2026-03-21 15:30:00,0.1814,2147.532856274103,105.0,3,151.23097206587133
2026-03-21 15:35:00,0.1812,2090.767958234068,105.0,3,151.0559654814547
2026-03-21 15:40:00,0.181,250.43923580413932,140.0,4,150.88095889703808
2026-03-21 15:45:00,0.1816,255.73338584164594,140.0,4,151.58001179945921
2026-03-21 15:50:00,0.1815,254.84240220859508,140.0,4,151.46350298238903
2026-03-21 15:55:00,0.1821,257.02732808307627,139.30540886097057,4,152.16255588481016
2026-03-21 16:00:00,0.182,256.1330284871882,139.30540886097057,4,152.04640361497982
2026-03-21 16:05:00,0.1822,257.92514131572887,139.30540886097057,4,152.2787081546405
2026-03-21 16:10:00,0.182,256.1330284871882,139.30540886097057,4,152.04640361497982
2026-03-21 16:15:00,0.1818,254.35488802257876,139.30540886097057,4,151.81409907531915
2026-03-21 16:20:00,0.1818,254.35488802257876,139.30540886097057,4,151.81409907531915
2026-03-21 16:25:00,0.1816,252.59055715129836,139.30540886097057,4,151.58179453565853
2026-03-21 16:30:00,0.1821,257.02732808307627,139.30540886097057,4,152.16255588481016
2026-03-21 16:35:00,0.1823,258.8264889331316,139.30540886097057,4,152.3948604244708
2026-03-21 16:40:00,0.1823,258.8264889331316,139.30540886097057,4,152.3948604244708
2026-03-21 16:45:00,0.1826,261.5519480385887,139.30540886097057,4,152.74331723396182
2026-03-21 16:50:00,0.1823,258.8264889331316,139.30540886097057,4,152.3948604244708
2026-03-21 16:55:00,0.182,256.1330284871882,139.30540886097057,4,152.04640361497982
2026-03-21 17:00:00,0.1822,257.92514131572887,139.30540886097057,4,152.2787081546405
2026-03-21 17:05:00,0.1818,254.35488802257876,139.30540886097057,4,151.81409907531915
2026-03-21 17:10:00,0.1821,257.02732808307627,139.30540886097057,4,152.16255588481016
2026-03-21 17:15:00,0.182,256.1330284871882,139.30540886097057,4,152.04640361497982
2026-03-21 17:20:00,0.1805,243.12654509372985,139.30540886097057,4,150.3041195675249
2026-03-21 17:25:00,0.1803,241.44817846420784,139.30540886097057,4,150.07181502786423
2026-03-21 17:30:00,0.1803,241.44817846420784,139.30540886097057,4,150.07181502786423
2026-03-21 17:35:00,0.1806,243.97052333081547,139.30540886097057,4,150.42027183735524
2026-03-21 17:40:00,0.1806,243.97052333081547,139.30540886097057,4,150.42027183735524
2026-03-21 17:45:00,0.1805,243.12654509372985,139.30540886097057,4,150.3041195675249
2026-03-21 17:50:00,0.1805,243.12654509372985,139.30540886097057,4,150.3041195675249
2026-03-21 17:55:00,0.1807,244.8177225823296,139.30540886097057,4,150.53642410718555
2026-03-21 18:00:00,0.1808,245.6681613228654,139.30540886097057,4,150.6525763770159
2026-03-21 18:05:00,0.1807,244.8177225823296,139.30540886097057,4,150.53642410718555
2026-03-21 18:10:00,0.1805,243.12654509372985,139.30540886097057,4,150.3041195675249
2026-03-21 18:15:00,0.1804,242.28576953669258,139.30540886097057,4,150.1879672976946
2026-03-21 18:20:00,0.1808,245.6681613228654,139.30540886097057,4,150.6525763770159
2026-03-21 18:25:00,0.1804,242.28576953669258,139.30540886097057,4,150.1879672976946
2026-03-21 18:30:00,0.1806,243.97052333081547,139.30540886097057,4,150.42027183735524
2026-03-21 18:35:00,0.1807,244.8177225823296,139.30540886097057,4,150.53642410718555
2026-03-21 18:40:00,0.1804,242.28576953669258,139.30540886097057,4,150.1879672976946
2026-03-21 18:45:00,0.1803,241.44817846420784,139.30540886097057,4,150.07181502786423
2026-03-21 18:50:00,0.1796,235.6727066689184,139.30540886097057,4,149.25874913905196
2026-03-21 18:55:00,0.1797,236.48850442900508,139.30540886097057,4,149.3749014088823
2026-03-21 19:00:00,0.1795,234.85995267484117,139.30540886097057,4,149.14259686922162
2026-03-21 19:05:00,0.1796,235.6727066689184,139.30540886097057,4,149.25874913905196
2026-03-21 19:10:00,0.1795,234.85995267484117,139.30540886097057,4,149.14259686922162
2026-03-21 19:15:00,0.1795,234.85995267484117,139.30540886097057,4,149.14259686922162
2026-03-21 19:20:00,0.1796,235.6727066689184,139.30540886097057,4,149.25874913905196
2026-03-21 19:25:00,0.1795,234.85995267484117,139.30540886097057,4,149.14259686922162
2026-03-21 19:30:00,0.1792,232.43978389096722,139.30540886097057,4,148.79414005973064
2026-03-21 19:35:00,0.1792,232.43978389096722,139.30540886097057,4,148.79414005973064
2026-03-21 19:40:00,0.1793,233.24350809969948,139.30540886097057,4,148.91029232956095
2026-03-21 19:45:00,0.1795,234.85995267484117,139.30540886097057,4,149.14259686922162
2026-03-21 19:50:00,0.1796,235.6727066689184,139.30540886097057,4,149.25874913905196
2026-03-21 19:55:00,0.1798,237.30736308554614,139.30540886097057,4,149.4910536787126
2026-03-21 20:00:00,0.1801,239.782477677481,139.30540886097057,4,149.83951048820362
2026-03-21 20:05:00,0.1801,239.782477677481,139.30540886097057,4,149.83951048820362
2026-03-21 20:10:00,0.1801,239.782477677481,139.30540886097057,4,149.83951048820362
2026-03-21 20:15:00,0.1803,241.44817846420784,139.30540886097057,4,150.07181502786423
2026-03-21 20:20:00,0.1815,251.7135201373225,139.30540886097057,4,151.4656422658282
2026-03-21 20:25:00,0.181,247.37883187850923,139.30540886097057,4,150.88488091667654
2026-03-21 20:30:00,0.1818,254.35488802257876,139.30540886097057,4,151.81409907531915
2026-03-21 20:35:00,0.1819,255.2422219421581,139.30540886097057,4,151.93025134514951
2026-03-21 20:40:00,0.1817,253.47100646198305,139.30540886097057,4,151.69794680548884
2026-03-21 20:45:00,0.1817,253.47100646198305,139.30540886097057,4,151.69794680548884
2026-03-21 20:50:00,0.1817,253.47100646198305,139.30540886097057,4,151.69794680548884
2026-03-21 20:55:00,0.1817,253.47100646198305,139.30540886097057,4,151.69794680548884
2026-03-21 21:00:00,0.1821,257.02732808307627,139.30540886097057,4,152.16255588481016
2026-03-21 21:05:00,0.1816,252.59055715129836,139.30540886097057,4,151.58179453565853
2026-03-21 21:10:00,0.1817,253.47100646198305,139.30540886097057,4,151.69794680548884
2026-03-21 21:15:00,0.1817,253.47100646198305,139.30540886097057,4,151.69794680548884
2026-03-21 21:20:00,0.1816,252.59055715129836,139.30540886097057,4,151.58179453565853
2026-03-21 21:25:00,0.1816,252.59055715129836,139.30540886097057,4,151.58179453565853
2026-03-21 21:30:00,0.1824,259.7313918469482,139.30540886097057,4,152.51101269430114
2026-03-21 21:35:00,0.1828,263.3869805194484,139.30540886097057,4,152.97562177362244
2026-03-21 21:40:00,0.1824,259.7313918469482,139.30540886097057,4,152.51101269430114
2026-03-21 21:45:00,0.1825,260.63987113413714,139.30540886097057,4,152.62716496413145
2026-03-21 21:50:00,0.182,256.1330284871882,139.30540886097057,4,152.04640361497982
2026-03-21 21:55:00,0.1818,254.35488802257876,139.30540886097057,4,151.81409907531915
2026-03-21 22:00:00,0.1809,246.52185816857127,139.30540886097057,4,150.76872864684623
2026-03-21 22:05:00,0.1811,248.23910135603074,139.30540886097057,4,151.0010331865069
2026-03-21 22:10:00,0.1812,249.10268565016312,139.30540886097057,4,151.1171854563372
2026-03-21 22:15:00,0.1816,252.59055715129836,139.30540886097057,4,151.58179453565853
2026-03-21 22:20:00,0.1814,250.8398756212176,139.30540886097057,4,151.34948999599786
2026-03-21 22:25:00,0.1813,249.96960395701916,139.30540886097057,4,151.23333772616752
2026-03-21 22:30:00,0.1821,257.02732808307627,139.30540886097057,4,152.16255588481016
2026-03-21 22:35:00,0.1817,253.47100646198305,139.30540886097057,4,151.69794680548884
2026-03-21 22:40:00,0.1812,249.10268565016312,139.30540886097057,4,151.1171854563372
2026-03-21 22:45:00,0.1814,250.8398756212176,139.30540886097057,4,151.34948999599786
2026-03-21 22:50:00,0.1812,249.10268565016312,139.30540886097057,4,151.1171854563372
2026-03-21 22:55:00,0.1815,251.7135201373225,139.30540886097057,4,151.4656422658282
2026-03-21 23:00:00,0.1812,249.10268565016312,139.30540886097057,4,151.1171854563372
2026-03-21 23:05:00,0.1814,250.8398756212176,139.30540886097057,4,151.34948999599786
2026-03-21 23:10:00,0.1813,249.96960395701916,139.30540886097057,4,151.23333772616752
2026-03-21 23:15:00,0.1812,249.10268565016312,139.30540886097057,4,151.1171854563372
2026-03-21 23:20:00,0.1812,249.10268565016312,139.30540886097057,4,151.1171854563372
2026-03-21 23:25:00,0.1813,249.96960395701916,139.30540886097057,4,151.23333772616752
2026-03-21 23:30:00,0.1811,248.23910135603074,139.30540886097057,4,151.0010331865069
2026-03-21 23:35:00,0.181,247.37883187850923,139.30540886097057,4,150.88488091667654
2026-03-21 23:40:00,0.1809,246.52185816857127,139.30540886097057,4,150.76872864684623
2026-03-21 23:45:00,0.1783,225.33825367780383,139.30540886097057,4,147.7487696312577
2026-03-21 23:50:00,0.175,201.18149712416744,139.30540886097057,4,143.91574472685687
2026-03-21 23:55:00,0.1739,193.72767766361062,139.30540886097057,4,142.63806975872325
2026-03-22 00:00:00,0.171,175.34237090618808,139.30540886097057,4,139.26965393364378
2026-03-22 00:05:00,0.1734,190.43037440988016,139.30540886097057,4,142.05730840957162
2026-03-22 00:10:00,0.1726,185.2680426054028,139.30540886097057,4,141.128090250929
2026-03-22 00:15:00,0.1736,191.74264619079733,139.30540886097057,4,142.2896129492323
2026-03-22 00:20:00,0.1732,189.1268650545085,139.30540886097057,4,141.82500386991097
2026-03-22 00:25:00,0.1733,189.77752992342,139.30540886097057,4,141.9411561397413
2026-03-22 00:30:00,0.1744,197.08114872917199,139.30540886097057,4,143.2188311078749
2026-03-22 00:35:00,0.174,194.39383283672157,139.30540886097057,4,142.75422202855358
2026-03-22 00:40:00,0.1739,193.72767766361062,139.30540886097057,4,142.63806975872325
2026-03-22 00:45:00,0.1737,192.40209564791203,139.30540886097057,4,142.4057652190626
2026-03-22 00:50:00,0.1726,185.2680426054028,139.30540886097057,4,141.128090250929
2026-03-22 00:55:00,0.1732,189.1268650545085,139.30540886097057,4,141.82500386991097
2026-03-22 01:00:00,0.1743,196.40589231946288,139.30540886097057,4,143.1026788380446
2026-03-22 01:05:00,0.1734,190.43037440988016,139.30540886097057,4,142.05730840957162
2026-03-22 01:10:00,0.1736,191.74264619079733,139.30540886097057,4,142.2896129492323
2026-03-22 01:15:00,0.1742,195.73292862566188,139.30540886097057,4,142.98652656821423
2026-03-22 01:20:00,0.1736,191.74264619079733,139.30540886097057,4,142.2896129492323
2026-03-22 01:25:00,0.1734,190.43037440988016,139.30540886097057,4,142.05730840957162
2026-03-22 01:30:00,0.1729,187.18783954237034,139.30540886097057,4,141.47654706042
2026-03-22 01:35:00,0.1725,184.63233395517,139.30540886097057,4,141.01193798109864
2026-03-22 01:40:00,0.1726,185.2680426054028,139.30540886097057,4,141.128090250929
2026-03-22 01:45:00,0.1731,188.47836890587547,139.30540886097057,4,141.70885160008064
2026-03-22 01:50:00,0.1733,189.77752992342,139.30540886097057,4,141.9411561397413
2026-03-22 01:55:00,0.174,194.39383283672157,139.30540886097057,4,142.75422202855358
2026-03-22 02:00:00,0.1742,195.73292862566188,139.30540886097057,4,142.98652656821423
2026-03-22 02:05:00,0.174,194.39383283672157,139.30540886097057,4,142.75422202855358
2026-03-22 02:10:00,0.1744,197.08114872917199,139.30540886097057,4,143.2188311078749
2026-03-22 02:15:00,0.1741,195.06224599078087,139.30540886097057,4,142.87037429838392
2026-03-22 02:20:00,0.1743,196.40589231946288,139.30540886097057,4,143.1026788380446
2026-03-22 02:25:00,0.176,208.20688924061815,139.30540886097057,4,145.07726742516013
2026-03-22 02:30:00,0.1755,204.6637034105963,139.30540886097057,4,144.4965060760085
2026-03-22 02:35:00,0.1753,203.26359196468627,139.30540886097057,4,144.26420153634785
2026-03-22 02:40:00,0.1755,204.6637034105963,139.30540886097057,4,144.4965060760085
2026-03-22 02:45:00,0.1761,208.92298515649372,139.30540886097057,4,145.1934196949905
2026-03-22 02:50:00,0.176,208.20688924061815,139.30540886097057,4,145.07726742516013
2026-03-22 02:55:00,0.1764,211.0864271707852,139.30540886097057,4,145.54187650448145
2026-03-22 03:00:00,0.1754,203.96243451408463,139.30540886097057,4,144.3803538061782
2026-03-22 03:05:00,0.1755,204.6637034105963,139.30540886097057,4,144.4965060760085
2026-03-22 03:10:00,0.1754,203.96243451408463,139.30540886097057,4,144.3803538061782
2026-03-22 03:15:00,0.1758,206.7821952067191,139.30540886097057,4,144.8449628854995
2026-03-22 03:20:00,0.1758,206.7821952067191,139.30540886097057,4,144.8449628854995
2026-03-22 03:25:00,0.1771,216.22459471324356,139.30540886097057,4,146.35494239329375
2026-03-22 03:30:00,0.1771,216.22459471324356,139.30540886097057,4,146.35494239329375
2026-03-22 03:35:00,0.1772,216.96912261729554,139.30540886097057,4,146.4710946631241
2026-03-22 03:40:00,0.1767,213.27288268987638,139.30540886097057,4,145.89033331397243
2026-03-22 03:45:00,0.1762,209.64159790646266,139.30540886097057,4,145.3095719648208
