timestamp,open,high,low,close,volume
2026-03-21 14:50:00,39.922,39.94,39.808,39.869,13073.69
2026-03-21 14:55:00,39.869,39.869,39.739,39.795,16511.6
2026-03-21 15:00:00,39.796,39.875,39.761,39.859,21350.28
2026-03-21 15:05:00,39.856,39.883,39.817,39.856,5436.32
2026-03-21 15:10:00,39.857,39.925,39.813,39.924,7885.58
2026-03-21 15:15:00,39.925,39.933,39.779,39.807,14685.48
2026-03-21 15:20:00,39.807,39.875,39.776,39.855,18861.34
2026-03-21 15:25:00,39.856,39.925,39.849,39.861,10047.68
2026-03-21 15:30:00,39.861,40.0,39.806,39.993,19281.58
2026-03-21 15:35:00,39.992,39.993,39.863,39.865,9563.41
2026-03-21 15:40:00,39.867,39.934,39.85,39.91,6563.55
2026-03-21 15:45:00,39.909,40.065,39.898,40.063,36316.17
2026-03-21 15:50:00,40.064,40.1,39.944,39.95,30231.25
2026-03-21 15:55:00,39.949,39.968,39.884,39.908,9644.43
2026-03-21 16:00:00,39.916,39.916,39.84,39.879,11848.19
2026-03-21 16:05:00,39.88,39.936,39.838,39.859,9094.15
2026-03-21 16:10:00,39.858,39.871,39.81,39.849,9543.13
2026-03-21 16:15:00,39.848,40.079,39.842,39.965,28550.47
2026-03-21 16:20:00,39.964,40.039,39.955,40.015,10331.82
2026-03-21 16:25:00,40.015,40.017,39.865,39.919,15626.72
2026-03-21 16:30:00,39.918,40.028,39.885,40.019,8484.68
2026-03-21 16:35:00,40.02,40.176,39.996,40.119,36258.68
2026-03-21 16:40:00,40.119,40.273,40.064,40.139,66897.1
2026-03-21 16:45:00,40.139,40.349,40.118,40.221,62983.19
2026-03-21 16:50:00,40.221,40.225,40.048,40.07,24329.3
2026-03-21 16:55:00,40.069,40.084,39.953,40.003,25658.13
2026-03-21 17:00:00,40.003,40.028,39.9,39.993,24132.18
2026-03-21 17:05:00,39.994,40.045,39.912,39.971,15788.15
2026-03-21 17:10:00,39.971,39.998,39.929,39.989,5586.05
2026-03-21 17:15:00,39.989,40.097,39.953,39.963,22863.13
2026-03-21 17:20:00,39.962,40.033,39.916,40.0,15805.26
2026-03-21 17:25:00,39.999,40.052,39.999,40.01,6640.68
2026-03-21 17:30:00,40.01,40.197,40.005,40.163,20669.64
2026-03-21 17:35:00,40.162,40.265,40.133,40.252,10754.89
2026-03-21 17:40:00,40.253,40.269,40.213,40.262,12403.18
2026-03-21 17:45:00,40.262,40.302,40.214,40.273,23525.15
2026-03-21 17:50:00,40.272,40.272,40.179,40.226,13542.85
2026-03-21 17:55:00,40.227,40.307,40.203,40.204,12893.08
2026-03-21 18:00:00,40.204,40.232,40.139,40.165,15254.98
2026-03-21 18:05:00,40.165,40.178,40.143,40.165,9259.66
2026-03-21 18:10:00,40.166,40.28,40.166,40.227,12709.26
2026-03-21 18:15:00,40.226,40.296,40.209,40.276,15162.04
2026-03-21 18:20:00,40.276,40.445,40.262,40.338,26917.82
2026-03-21 18:25:00,40.337,40.337,40.213,40.222,22445.84
2026-03-21 18:30:00,40.222,40.332,40.222,40.309,11718.83
2026-03-21 18:35:00,40.313,40.447,40.309,40.41,17851.3
2026-03-21 18:40:00,40.41,40.418,40.337,40.418,10160.04
2026-03-21 18:45:00,40.418,40.422,40.312,40.339,7972.01
2026-03-21 18:50:00,40.339,40.339,40.239,40.276,10275.08
2026-03-21 18:55:00,40.281,40.283,40.255,40.267,5104.41
2026-03-21 19:00:00,40.267,40.336,40.243,40.28,9857.68
2026-03-21 19:05:00,40.28,40.3,40.222,40.227,10043.26
2026-03-21 19:10:00,40.226,40.29,40.2,40.242,12876.05
2026-03-21 19:15:00,40.241,40.326,40.223,40.278,5272.5
2026-03-21 19:20:00,40.277,40.347,40.257,40.284,16853.15
2026-03-21 19:25:00,40.283,40.366,40.283,40.346,4421.98
2026-03-21 19:30:00,40.346,40.361,40.194,40.222,10924.42
2026-03-21 19:35:00,40.222,40.244,40.193,40.204,7497.17
2026-03-21 19:40:00,40.206,40.238,40.169,40.228,10574.86
2026-03-21 19:45:00,40.228,40.302,40.188,40.22,18892.88
2026-03-21 19:50:00,40.22,40.227,40.132,40.156,13093.54
2026-03-21 19:55:00,40.152,40.18,40.124,40.152,6338.81
2026-03-21 20:00:00,40.151,40.17,40.134,40.137,10679.89
2026-03-21 20:05:00,40.136,40.171,40.09,40.136,14611.25
2026-03-21 20:10:00,40.137,40.143,40.013,40.018,30674.51
2026-03-21 20:15:00,40.018,40.072,39.983,39.994,10427.38
2026-03-21 20:20:00,39.994,40.087,39.994,40.065,11713.52
2026-03-21 20:25:00,40.066,40.123,40.042,40.118,15744.35
2026-03-21 20:30:00,40.117,40.233,40.117,40.196,18320.54
2026-03-21 20:35:00,40.195,40.2,40.13,40.167,5047.0
2026-03-21 20:40:00,40.167,40.261,40.144,40.215,12566.44
2026-03-21 20:45:00,40.214,40.221,40.176,40.176,5482.27
2026-03-21 20:50:00,40.176,40.236,40.176,40.22,8530.94
2026-03-21 20:55:00,40.219,40.242,40.211,40.211,3189.28
2026-03-21 21:00:00,40.212,40.238,40.164,40.228,11143.72
2026-03-21 21:05:00,40.228,40.267,40.206,40.206,8735.7
2026-03-21 21:10:00,40.206,40.224,40.062,40.135,10676.45
2026-03-21 21:15:00,40.134,40.137,40.054,40.103,6250.55
2026-03-21 21:20:00,40.102,40.118,40.075,40.096,8502.71
2026-03-21 21:25:00,40.096,40.114,40.049,40.066,7453.38
2026-03-21 21:30:00,40.066,40.093,40.052,40.086,2071.62
2026-03-21 21:35:00,40.085,40.146,40.085,40.14,2831.75
2026-03-21 21:40:00,40.14,40.14,40.019,40.019,6636.61
2026-03-21 21:45:00,40.018,40.05,40.002,40.039,4136.9
2026-03-21 21:50:00,40.038,40.092,40.009,40.08,5717.84
2026-03-21 21:55:00,40.081,40.098,40.036,40.062,9203.2
2026-03-21 22:00:00,40.06,40.089,39.984,40.026,7093.69
2026-03-21 22:05:00,40.025,40.08,40.018,40.026,7201.6
2026-03-21 22:10:00,40.027,40.055,40.017,40.018,3069.7
2026-03-21 22:15:00,40.018,40.023,39.919,39.974,13819.22
